ts	phase	decision	why	evidence	result
2026-09-11T19:55:35Z	frame	Defined completion as one canonical experiment path with immutable validated artifacts and no legacy callers	The refactor needs a falsifiable finish condition before a large change starts	a.md	baseline recorded, implementation open
2026-09-11T19:55:35Z	baseline	Kept the existing dirty worktree in place	The current edits belong to the user and may overlap the Qwen path	git status --short	112 baseline tests pass
2026-09-11T20:08:00Z	design	Chose typed coordination over a content-addressed artifact graph	Histories, questions, calls, and reports have different identity and retry rules	docs/experiment-architecture.md	design recorded
2026-09-11T20:08:00Z	integrity	Added coherent version 2 checkpoint generations and immutable terminal runs	A pointer published after a commit record prevents mixed manifest and result generations	test_run_store.py	7 tests pass
2026-09-11T20:21:00Z	benchmarks	Replaced the top-level benchmark module with three typed adapters and one registry	Each benchmark now owns its source shape and can no longer import a sibling runner	test_benchmark_contracts.py	124 full-suite tests pass
2026-09-11T20:21:00Z	inference	Moved model and LoRA settings into typed inference modules	A model revision and its engine settings now have one owner	adaption_memory/inference	Qwen tests pass
2026-09-11T20:34:00Z	ownership	Moved memory policy and durable execution files into the package	Top-level shared modules obscured ownership and forced source-list duplication	targeted Qwen and pipeline suites	legacy shared paths removed
2026-09-11T20:43:00Z	transport	Made response persistence an observable state before output validation	A received response must be durable before parsing or a crash can cause an unsafe replay	test_openai_transport.py	all transport-state tests pass
2026-09-11T22:10:00Z	orchestration	Replaced model and benchmark branches with one preset-driven coordinator and CLI	New benchmark-model combinations should be data, not scripts	adaption_memory/cli.py and experiment_specs/	fixture CLI passes end to end
2026-09-11T22:10:00Z	resume	Recovered durable response_saved and complete calls without replay	A crash between response persistence and derived artifact creation must not create a second billable call	test_coordinator.py	saved-response crash test passes
2026-09-11T22:10:00Z	judging	Kept BEAM rubric nuggets as independent calls inside the shared judge interface	Combining nuggets would change the benchmark score and prompt semantics	test_prompt_contracts.py	one request per nugget verified
2026-09-11T22:10:00Z	cleanup	Removed dead runtime wrappers and moved distinct audits under tools	The canonical path is clearer when retired runners cannot be invoked	import scan and full suite	final verification pending
2026-09-12T08:00:00Z	verification	Split frozen experiment identity from full run identity	A characterization test that hashes every package file only asserts that nobody edited code, and fails on every commit	test_benchmark_contracts.py	96 offline tests pass; configuration hashes stable across code edits
